Nomer, Name, Genres
226,Dream Man (1995),Thriller|
230,Dolores Claiborne (1995),Drama|Thriller|
234,Exit to Eden (1994),Comedy|
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children|
242,Farinelli: il castrato (1994),Drama|Musical|
246,Hoop Dreams (1994),Documentary|
250,Heavyweights (Heavy Weights) (1995),Children|Comedy|
254,Jefferson in Paris (1995),Drama|
258,Kid in King Arthur's Court, A (1995),Adventure|Children|Comedy|Fantasy|Romance|
262,Little Princess, A (1995),Children|Drama|
266,Legends of the Fall (1994),Drama|Romance|War|Western|
270,Love Affair (1994),Drama|Romance|
274,Man of the House (1995),Comedy|
278,Miami Rhapsody (1995),Comedy|
282,Nell (1994),Drama|
286,Nemesis 2: Nebula (1995),Action|Sci-Fi|Thriller|
290,Once Were Warriors (1994),Crime|Drama|
294,Perez Family, The (1995),Comedy|Romance|
298,Pushing Hands (Tui shou) (1992),Drama|
302,Queen Margot (Reine Margot, La) (1994),Drama|Romance|
306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama|
310,Rent-a-Kid (1995),Comedy|
314,Secret of Roan Inish, The (1994),Children|Drama|Fantasy|Mystery|
318,Shawshank Redemption, The (1994),Crime|Drama|
322,Swimming with Sharks (1995),Comedy|Drama|
327,Tank Girl (1995),Action|Comedy|Sci-Fi|
331,Tom & Viv (1994),Drama|
335,Underneath (1995),Mystery|Thriller|
339,While You Were Sleeping (1995),Comedy|Romance|
343,Baby-Sitters Club, The (1995),Children|
347,Bitter Moon (1992),Drama|Film-Noir|Romance|
351,Corrina, Corrina (1994),Comedy|Drama|Romance|
355,Flintstones, The (1994),Children|Comedy|Fantasy|
359,I Like It Like That (1994),Comedy|Drama|Romance|
363,Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993),Documentary|
367,Mask, The (1994),Action|Comedy|Crime|Fantasy|
371,Paper, The (1994),Comedy|Drama|
375,Safe Passage (1994),Drama|
379,Timecop (1994),Action|Sci-Fi|Thriller|
383,Wyatt Earp (1994),Western|
387,Low Down Dirty Shame, A (1994),Action|Comedy|
391,Jason's Lyric (1994),Crime|Drama|
395,Desert Winds (1995),Drama|Fantasy|Romance|
399,Girl in the Cadillac (1995),Drama|
403,Two Crimes (Dos crímenes) (1995),Comedy|Crime|Drama|
407,In the Mouth of Madness (1995),Horror|Thriller|
411,Martin Lawrence: You So Crazy (1994),Comedy|Documentary|
415,Another Stakeout (1993),Comedy|Thriller|
419,Beverly Hillbillies, The (1993),Comedy|
423,Blown Away (1994),Action|Thriller|
427,Boxing Helena (1993),Drama|Mystery|Romance|Thriller|
431,Carlito's Way (1993),Crime|Drama|
435,Coneheads (1993),Comedy|Sci-Fi|
439,Dangerous Game (1993),Drama|
443,Endless Summer 2, The (1994),Adventure|Documentary|
447,Favor, The (1994),Comedy|Romance|
451,Flesh and Bone (1993),Drama|Mystery|Romance|
455,Free Willy (1993),Adventure|Children|Drama|
459,Getaway, The (1994),Action|Adventure|Crime|Drama|Romance|Thriller|
463,Guilty as Sin (1993),Crime|Drama|Thriller|
467,Live Nude Girls (1995),Comedy|
471,Hudsucker Proxy, The (1994),Comedy|
475,In the Name of the Father (1993),Drama|
479,Judgment Night (1993),Action|Crime|Thriller|
483,King of the Hill (1993),Drama|
487,Lightning Jack (1994),Comedy|Western|
491,Man Without a Face, The (1993),Drama|
495,In the Realm of the Senses (Ai no corrida) (1976),Drama|
499,Mr. Wonderful (1993),Comedy|Romance|
503,New Age, The (1994),Drama|
507,Perfect World, A (1993),Crime|Drama|Thriller|
511,Program, The (1993),Action|Drama|
515,Remains of the Day, The (1993),Drama|Romance|
519,RoboCop 3 (1993),Action|Crime|Drama|Sci-Fi|Thriller|
523,Ruby in Paradise (1993),Drama|
527,Schindler's List (1993),Drama|War|
531,Secret Garden, The (1993),Children|Drama|
535,Short Cuts (1993),Drama|
539,Sleepless in Seattle (1993),Comedy|Drama|Romance|
543,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller|
547,Surviving the Game (1994),Action|Adventure|Thriller|
551,Nightmare Before Christmas, The (1993),Animation|Children|Fantasy|Musical|
555,True Romance (1993),Crime|Thriller|
560,Beans of Egypt, Maine, The (1994),Drama|
564,Chasers (1994),Comedy|
568,Bhaji on the Beach (1993),Comedy|Drama|
572,Foreign Student (1994),Drama|
576,Fausto (1993),Comedy|
581,Celluloid Closet, The (1995),Documentary|
585,Brady Bunch Movie, The (1995),Comedy|
589,Terminator 2: Judgment Day (1991),Action|Sci-Fi|
593,Silence of the Lambs, The (1991),Crime|Horror|Thriller|
597,Pretty Woman (1990),Comedy|Romance|
601,Wooden Man's Bride, The (Yan shen) (1994),Drama|
605,One Fine Day (1996),Drama|Romance|
609,Homeward Bound II: Lost in San Francisco (1996),Adventure|Children|
613,Jane Eyre (1996),Drama|Romance|
617,Flower of My Secret, The (La flor de mi secreto) (1995),Comedy|Drama|
621,My Favorite Season (1993),Drama|
626,Thin Line Between Love and Hate, A (1996),Comedy|
630,Carried Away (1996),Drama|Romance|
634,Theodore Rex (1995),Comedy|
638,Jack and Sarah (1995),Romance|
642,Roula (1995),Drama|
647,Courage Under Fire (1996),Action|Crime|Drama|War|
651,Superweib, Das (1996),Comedy|
655,My Mother's Courage (Mutters Courage) (1995),Comedy|
659,Purple Noon (Plein soleil) (1960),Crime|Drama|Thriller|
663,Kids in the Hall: Brain Candy (1996),Comedy|
667,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996),Action|
672,Tarantella (1995),Drama|
676,They Bite (1996),Comedy|Horror|Sci-Fi|
681,Coup de torchon (Clean Slate) (1981),Crime|
685,It's My Party (1996),Drama|
691,Mrs. Winterbourne (1996),Comedy|Romance|
695,True Crime (1996),Mystery|Thriller|
699,To Cross the Rubicon (1991),Drama|
703,Boys (1996),Drama|
707,Mulholland Falls (1996),Crime|Drama|Thriller|
711,Flipper (1996),Adventure|Children|
715,Horseman on the Roof, The (Hussard sur le toit, Le) (1995),Drama|Romance|
719,Multiplicity (1996),Comedy|
723,Two Friends (1986),Drama|
727,War Stories (1995),Documentary|
731,Heaven's Prisoners (1996),Crime|Thriller|
735,Cemetery Man (Dellamorte Dellamore) (1994),Horror|
739,Honey Moon (Honigmond) (1996),Comedy|
744,Brothers in Trouble (1995),Drama|
748,Arrival, The (1996),Action|Sci-Fi|Thriller|
752,Vermont Is For Lovers (1992),Comedy|Documentary|Romance|
756,Carmen Miranda: Bananas Is My Business (1994),Documentary|
760,Stalingrad (1993),Drama|War|
764,Heavy (1995),Drama|Romance|
768,Someone Else's America (1995),Drama|
772,Quartier Mozart (1992),Comedy|
776,Babyfever (1994),Comedy|Drama|
780,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller|
784,Cable Guy, The (1996),Comedy|Thriller|
788,Nutty Professor, The (1996),Comedy|Fantasy|Romance|Sci-Fi|
792,Hungarian Fairy Tale, A (Hol volt, hol nem volt) (1987),Fantasy|
796,Very Natural Thing, A (1974),Drama|
800,Lone Star (1996),Drama|Mystery|Western|
804,She's the One (1996),Comedy|Romance|
808,Alaska (1996),Adventure|Children|
813,Larger Than Life (1996),Comedy|
818,Very Brady Sequel, A (1996),Comedy|
822,Hedd Wyn (1992),Drama|Romance|War|
826,Women Robbers (Diebinnen) (1995),Drama|
830,First Wives Club, The (1996),Comedy|
834,Phat Beach (1996),Comedy|
838,Emma (1996),Comedy|Drama|Romance|
842,Tales from the Crypt Presents: Bordello of Blood (1996),Comedy|Horror|
846,Flirt (1995),Drama|
850,Cyclo (Xich lo) (1995),Crime|Drama|
854,Ballad of Narayama, The (Narayama Bushiko) (1958),Drama|
858,Godfather, The (1972),Crime|Drama|
862,Manny & Lo (1996),Drama|
867,Carpool (1996),Comedy|Crime|
871,Lover's Knot (1996),Comedy|
875,Nothing to Lose (1994),Action|Crime|Drama|
879,Relic, The (1997),Horror|Thriller|
884,Sweet Nothing (1996),Drama|
888,Land Before Time III: The Time of the Great Giving (1995),Adventure|Animation|Children|Musical|
892,Twelfth Night (1996),Comedy|Drama|Romance|
896,Wild Reeds (Les roseaux sauvages) (1994),Drama|
900,American in Paris, An (1951),Musical|Romance|
904,Rear Window (1954),Mystery|Thriller|
908,North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller|
912,Casablanca (1942),Drama|Romance|
916,Roman Holiday (1953),Comedy|Drama|Romance|
920,Gone with the Wind (1939),Drama|Romance|War|
924,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi|
928,Rebecca (1940),Drama|Mystery|Romance|Thriller|
932,Affair to Remember, An (1957),Drama|Romance|
936,Ninotchka (1939),Comedy|Romance|
940,Adventures of Robin Hood, The (1938),Action|Adventure|Romance|
944,Lost Horizon (1937),Drama|
948,Giant (1956),Drama|Romance|Western|
952,Around the World in 80 Days (1956),Adventure|Comedy|
956,Penny Serenade (1941),Drama|Romance|
960,Angel on My Shoulder (1946),Crime|Drama|
964,Angel and the Badman (1947),Romance|Western|
968,Night of the Living Dead (1968),Horror|Sci-Fi|Thriller|
972,Last Time I Saw Paris, The (1954),Drama|
976,Farewell to Arms, A (1932),Romance|War|
981,Dangerous Ground (1997),Drama|
985,Small Wonders (1995),Documentary|
989,Brother of Sleep (Schlafes Bruder) (1995),Drama|
993,Infinity (1996),Drama|
998,Set It Off (1996),Action|Crime|
1002,Ed's Next Move (1996),Comedy|Romance|
1006,Chamber, The (1996),Drama|
1010,Love Bug, The (1969),Children|Comedy|
1014,Pollyanna (1960),Children|Comedy|Drama|
1018,That Darn Cat! (1965),Children|Comedy|Mystery|
1022,Cinderella (1950),Animation|Children|Fantasy|Musical|Romance|
1026,So Dear to My Heart (1949),Children|Drama|
1030,Pete's Dragon (1977),Adventure|Animation|Children|Musical|
1034,Freeway (1996),Comedy|Crime|Drama|Thriller|
1038,Unhook the Stars (1996),Drama|
1042,That Thing You Do! (1996),Comedy|Drama|
1046,Beautiful Thing (1996),Drama|Romance|
1051,Trees Lounge (1996),Drama|
1055,Shadow Conspiracy (1997),Thriller|
1059,William Shakespeare's Romeo + Juliet (1996),Drama|Romance|
1063,Johns (1996),Drama|
1067,Damsel in Distress, A (1937),Comedy|Musical|Romance|
1071,For the Moment (1994),Romance|War|
1077,Sleeper (1973),Comedy|Sci-Fi|
1081,Victor/Victoria (1982),Comedy|Musical|Romance|
1085,Old Man and the Sea, The (1958),Adventure|Drama|
1089,Reservoir Dogs (1992),Crime|Mystery|Thriller|
1093,Doors, The (1991),Drama|
1097,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi|
1101,Top Gun (1986),Action|Romance|
1105,Children of the Corn IV: The Gathering (1996),Horror|
1110,Bird of Prey (1996),Action|
1114,Funeral, The (1996),Crime|Drama|
1118,North Star (a.k.a. Tashunga) (1995),Action|Adventure|Crime|Drama|Western|
1122,Plutonium Circus (1995),Documentary|
1126,Drop Dead Fred (1991),Comedy|Fantasy|
1130,Howling, The (1980),Horror|Mystery|
1134,Johnny 100 Pesos (Johnny cien pesos) (1993),Action|Drama|
1138,Dadetown (1995),Drama|
1142,Get Over It (1996),Drama|
1146,Curtis's Charm (1995),Comedy|Drama|
1150,Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982),Drama|
1154,T-Men (1947),Film-Noir|
1158,Here Comes Cookie (1935),Comedy|
1162,Ruling Class, The (1972),Comedy|Drama|
1166,Farmer & Chase (1997),Comedy|
1170,Best of the Best 3: No Turning Back (1995),Action|
1174,Dead Tired (Grosse Fatigue) (1994),Comedy|
1178,Paths of Glory (1957),Drama|War|
1183,English Patient, The (1996),Drama|Romance|War|
1187,Passion Fish (1992),Drama|
1191,Madonna: Truth or Dare (1991),Documentary|Musical|
1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi|
1200,Aliens (1986),Action|Adventure|Horror|Sci-Fi|
1204,Lawrence of Arabia (1962),Adventure|Drama|War|
1209,Once Upon a Time in the West (C'era una volta il West) (1968),Action|Drama|Western|
1213,Goodfellas (1990),Crime|Drama|
1217,Ran (1985),Drama|War|
1221,Godfather: Part II, The (1974),Crime|Drama|
1225,Amadeus (1984),Drama|
1230,Annie Hall (1977),Comedy|Romance|
1234,Sting, The (1973),Comedy|Crime|
1238,Local Hero (1983),Comedy|
1243,Rosencrantz and Guildenstern Are Dead (1990),Comedy|Drama|
1247,Graduate, The (1967),Comedy|Drama|Romance|
1251,8 1/2 (8½) (1963),Drama|Fantasy|
1255,Bad Taste (1987),Comedy|Horror|Sci-Fi|
1259,Stand by Me (1986),Adventure|Drama|
1263,Deer Hunter, The (1978),Drama|War|
1267,Manchurian Candidate, The (1962),Crime|Thriller|War|
1271,Fried Green Tomatoes (1991),Comedy|Crime|Drama|
1275,Highlander (1986),Action|Adventure|Fantasy|
1279,Night on Earth (1991),Comedy|Drama|
1283,High Noon (1952),Drama|Western|
1287,Ben-Hur (1959),Action|Adventure|Drama|
1291,Indiana Jones and the Last Crusade (1989),Action|Adventure|
1296,Room with a View, A (1986),Drama|Romance|
1300,My Life as a Dog (Mitt liv som hund) (1985),Comedy|Drama|
1304,Butch Cassidy and the Sundance Kid (1969),Action|Western|
1308,I Shot a Man in Vegas (1995),Comedy|
1312,Female Perversions (1996),Drama|
1316,Anna (1996),Drama|
1320,Alien³ (a.k.a. Alien 3) (1992),Action|Horror|Sci-Fi|Thriller|
1324,Amityville: Dollhouse (1996),Horror|
1328,Amityville Curse, The (1990),Horror|
1332,Believers, The (1987),Horror|Thriller|
1336,Body Parts (1991),Horror|Thriller|
1341,Burnt Offerings (1976),Horror|
1345,Carrie (1976),Drama|Fantasy|Horror|Thriller|
1349,Vampire in Venice (Nosferatu a Venezia) (Nosferatu in Venice) (1986),Horror|
1353,Mirror Has Two Faces, The (1996),Comedy|Drama|Romance|
1357,Shine (1996),Drama|Romance|
1361,Paradise Lost: The Child Murders at Robin Hood Hills (1996),Documentary|
1366,Crucible, The (1996),Drama|
1370,Die Hard 2 (1990),Action|Adventure|Thriller|
1374,Star Trek II: The Wrath of Khan (1982),Action|Adventure|Sci-Fi|Thriller|
1378,Young Guns (1988),Action|Comedy|Western|
1382,Marked for Death (1990),Action|Drama|
1386,Terror in a Texas Town (1958),Western|
1390,My Fellow Americans (1996),Comedy|
1394,Raising Arizona (1987),Comedy|
1398,In Love and War (1996),Romance|War|
1404,Night Falls on Manhattan (1996),Crime|Drama|
1408,Last of the Mohicans, The (1992),Action|Romance|War|Western|
1412,Some Mother's Son (1996),Drama|
1416,Evita (1996),Drama|Musical|
1421,Grateful Dead (1995),Documentary|
1425,Fierce Creatures (1997),Comedy|
1429,First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo) (1996),Action|Adventure|Comedy|Thriller|
1433,Machine, The (1994),Comedy|Horror|Sci-Fi|Thriller|
1438,Dante's Peak (1997),Action|Thriller|
1442,Prefontaine (1997),Drama|
1446,Kolya (Kolja) (1996),Comedy|Drama|
1450,Prisoner of the Mountains (Kavkazsky plennik) (1996),War|
1456,Pest, The (1997),Comedy|
1460,That Darn Cat (1997),Children|Comedy|Mystery|
1464,Lost Highway (1997),Crime|Drama|Fantasy|Film-Noir|Mystery|Romance|
1468,Booty Call (1997),Comedy|Romance|
1473,Best Men (1997),Action|Comedy|Crime|Drama|
1477,Love Jones (1997),Romance|
1483,Crash (1996),Drama|Thriller|
1487,Selena (1997),Drama|Musical|
1493,Love and Other Catastrophes (1996),Romance|
1498,Inventing the Abbotts (1997),Drama|Romance|
1502,Kissed (1996),Drama|Romance|
1508,Traveller (1997),Drama|
1513,Romy and Michele's High School Reunion (1997),Comedy|
1517,Austin Powers: International Man of Mystery (1997),Action|Adventure|Comedy|
1522,Ripe (1996),Drama|
1526,Fathers' Day (1997),Comedy|
1531,Losing Chase (1996),Drama|
1535,Love! Valour! Compassion! (1997),Drama|Romance|
1541,Addicted to Love (1997),Comedy|Romance|
1545,Ponette (1996),Drama|
1549,Rough Magic (1995),Drama|Romance|
1553,Late Bloomers (1996),Comedy|
1557,Squeeze (1997),Drama|
1562,Batman & Robin (1997),Action|Adventure|Fantasy|Thriller|
1566,Hercules (1997),Adventure|Animation|Children|Comedy|Musical|
1570,Tetsuo II: Body Hammer (1992),Horror|Sci-Fi|
1574,Fall (1997),Romance|
1579,For Ever Mozart (1996),Drama|
1583,Simple Wish, A (1997),Children|Fantasy|
1587,Conan the Barbarian (1982),Action|Adventure|Fantasy|
1591,Spawn (1997),Action|Adventure|Sci-Fi|Thriller|
1595,Free Willy 3: The Rescue (1997),Adventure|Children|Drama|
1599,Steel (1997),Action|
1603,Mimic (1997),Horror|Sci-Fi|Thriller|
1608,Air Force One (1997),Action|Thriller|
1612,Kiss Me, Guido (1997),Comedy|
1616,Peacemaker, The (1997),Action|Thriller|War|
1621,Soul Food (1997),Drama|
1625,Game, The (1997),Drama|Mystery|Thriller|
1629,MatchMaker, The (1997),Comedy|Romance|
1633,Ulee's Gold (1997),Drama|
1640,How to Be a Player (1997),Comedy|
1644,I Know What You Did Last Summer (1997),Horror|Mystery|Thriller|
1648,House of Yes, The (1997),Comedy|Drama|
1652,Year of the Horse (1997),Documentary|
1656,Swept from the Sea (1997),Drama|Romance|
1660,Eve's Bayou (1997),Drama|
1664,Nenette and Boni (Nénette et Boni) (1996),Drama|
1668,One Night Stand (1997),Drama|
1672,Rainmaker, The (1997),Drama|
1676,Starship Troopers (1997),Action|Sci-Fi|
1680,Sliding Doors (1998),Drama|Romance|
1684,Mrs. Dalloway (1997),Drama|Romance|
1688,Anastasia (1997),Adventure|Animation|Children|Drama|Musical|
1693,Amistad (1997),Drama|Mystery|
1697,Bang (1995),Crime|Drama|
1702,Flubber (1997),Children|Comedy|Fantasy|
1706,Tar (1996),Drama|
1710,Man of Her Dreams (a.k.a. The Fiancé) (1997),Drama|
1715,Office Killer (1997),Thriller|
1719,Sweet Hereafter, The (1997),Drama|
1723,Twisted (1996),Comedy|Drama|
1727,Horse Whisperer, The (1998),Drama|Romance|
1731,Mr. Magoo (1997),Comedy|
1735,Great Expectations (1998),Drama|Romance|
1742,Caught Up (1998),Crime|
1747,Wag the Dog (1997),Comedy|
1752,Hard Rain (1998),Action|Crime|Thriller|
1756,Prophecy II, The (1998),Horror|
1762,Deep Rising (1998),Action|Horror|Sci-Fi|
1768,Mother and Son (Mat i syn) (1997),Drama|
1772,Blues Brothers 2000 (1998),Action|Comedy|Musical|
1777,Wedding Singer, The (1998),Comedy|Romance|
1782,Little City (1998),Comedy|Romance|
1787,Paralyzing Fear: The Story of Polio in America, A (1998),Documentary|
1792,U.S. Marshals (1998),Action|Crime|Thriller|
1796,In God's Hands (1998),Action|Drama|
1801,Man in the Iron Mask, The (1998),Action|Adventure|Drama|
1807,Cool, Dry Place, A (1998),Drama|
1812,Wide Awake (1998),Children|Comedy|Drama|
1817,No Looking Back (1998),Drama|Romance|
1822,Meet the Deedles (1998),Children|Comedy|
1827,Big One, The (1997),Comedy|Documentary|
1832,Heaven's Burning (1997),Action|Drama|
1836,Last Days of Disco, The (1998),Comedy|Drama|
1841,Gingerbread Man, The (1998),Drama|Thriller|
1845,Zero Effect (1998),Comedy|Mystery|Thriller|
1850,I Love You, Don't Touch Me! (1998),Drama|Romance|
1854,Kissing a Fool (1998),Comedy|Romance|
1858,Mr. Nice Guy (Yat goh ho yan) (1997),Action|Comedy|
1862,Species II (1998),Horror|Sci-Fi|
1866,Big Hit, The (1998),Action|Comedy|Crime|
1871,Friend of the Deceased, A (Priyatel pokonika) (1997),Comedy|Drama|
1875,Clockwatchers (1997),Comedy|
1879,Hanging Garden, The (1997),Drama|Romance|
1883,Bulworth (1998),Comedy|Drama|Romance|
1887,Almost Heroes (1998),Adventure|Comedy|Western|
1891,Ugly, The (1997),Horror|Thriller|
1895,Can't Hardly Wait (1998),Comedy|Drama|Romance|
1899,Passion in the Desert (1998),Adventure|Drama|
1903,Hav Plenty (1997),Comedy|
1907,Mulan (1998),Adventure|Animation|Children|Comedy|Drama|Musical|Romance|
1911,Dr. Dolittle (1998),Comedy|
1915,Voyage to the Beginning of the World (Viagem ao Princípio do Mundo) (1997),Drama|
1919,Madeline (1998),Children|Comedy|
1923,There's Something About Mary (1998),Comedy|Romance|
1927,All Quiet on the Western Front (1930),Action|Drama|War|
1931,Mutiny on the Bounty (1935),Adventure|Drama|
1935,How Green Was My Valley (1941),Drama|Musical|Romance|
1939,Best Years of Our Lives, The (1946),Drama|War|
1943,Greatest Show on Earth, The (1952),Drama|
1947,West Side Story (1961),Drama|Musical|Romance|
1951,Oliver! (1968),Drama|Musical|
1955,Kramer vs. Kramer (1979),Drama|
1959,Out of Africa (1985),Drama|Romance|
1963,Take the Money and Run (1969),Comedy|Crime|
1967,Labyrinth (1986),Adventure|Fantasy|Musical|
1971,Nightmare on Elm Street 4: The Dream Master, A (1988),Horror|Thriller|
1975,Friday the 13th Part 2 (1981),Horror|
1979,Friday the 13th Part VI: Jason Lives (1986),Horror|
1983,Halloween II (1981),Horror|
1987,Prom Night (1980),Horror|
1991,Child's Play (1988),Horror|Thriller|
1995,Poltergeist II: The Other Side (1986),Horror|Thriller|
1999,Exorcist III, The (1990),Horror|
2003,Gremlins (1984),Comedy|Horror|
2007,Polish Wedding (1998),Comedy|
2011,Back to the Future Part II (1989),Adventure|Comedy|Sci-Fi|
2015,Absent-Minded Professor, The (1961),Children|Comedy|Fantasy|
2019,Seven Samurai (Shichinin no samurai) (1954),Action|Adventure|Drama|
2023,Godfather: Part III, The (1990),Crime|Drama|Mystery|Thriller|
2027,Jane Austen's Mafia! (1998),Comedy|Crime|
2031,Million Dollar Duck, The (a.k.a. $1,000,000 Duck) (1971),Children|Comedy|
2035,Blackbeard's Ghost (1968),Children|Comedy|
2039,Cheetah (1989),Adventure|Children|
2043,Darby O'Gill and the Little People (1959),Adventure|Children|Fantasy|
2047,Gnome-Mobile, The (1967),Adventure|Children|Fantasy|Musical|
2051,Herbie Goes to Monte Carlo (1977),Adventure|Children|Comedy|
2055,Hot Lead and Cold Feet (1978),Action|Comedy|Western|
2059,Parent Trap, The (1998),Children|Comedy|Romance|
2063,Seventh Heaven (Septième ciel, Le) (1997),Drama|Romance|
2067,Doctor Zhivago (1965),Drama|Romance|War|
2071,And the Band Played On (1993),Drama|
2075,Mephisto (1981),Drama|War|
2079,Kidnapped (1960),Adventure|Children|Drama|
2083,Muppet Christmas Carol, The (1992),Children|Comedy|Musical|
2087,Peter Pan (1953),Animation|Children|Fantasy|Musical|
2091,Return from Witch Mountain (1978),Children|Sci-Fi|
2095,Shaggy D.A., The (1976),Children|Comedy|
2099,Song of the South (1946),Adventure|Animation|Children|Musical|
2103,Tall Tale (1995),Adventure|Children|Fantasy|Western|
2107,Halloween H20: 20 Years Later (Halloween 7: The Revenge of Laurie Strode) (1998),Horror|Thriller|
2111,Man with Two Brains, The (1983),Comedy|
2115,Indiana Jones and the Temple of Doom (1984),Action|Adventure|Fantasy|
2119,Maximum Overdrive (1986),Horror|
2123,All Dogs Go to Heaven (1989),Animation|Children|Comedy|Drama|Fantasy|
2127,First Love, Last Rites (1997),Drama|Romance|
2131,Autumn Sonata (Höstsonaten) (1978),Drama|
2135,Doctor Dolittle (1967),Adventure|Children|Musical|
2139,Secret of NIMH, The (1982),Adventure|Animation|Children|Drama|
2143,Legend (1985),Adventure|Fantasy|Romance|
2147,Clan of the Cave Bear, The (1986),Adventure|Drama|Fantasy|
2151,Gods Must Be Crazy II, The (1989),Comedy|
2155,Slums of Beverly Hills, The (1998),Comedy|Drama|
2159,Henry: Portrait of a Serial Killer (1986),Crime|Horror|Thriller|
2163,Attack of the Killer Tomatoes! (1978),Comedy|Horror|
2167,Blade (1998),Action|Horror|Thriller|
2171,Next Stop Wonderland (1998),Comedy|Drama|Romance|
2175,Déjà Vu (1997),Drama|Romance|
2179,Topaz (1969),Thriller|
2183,Man Who Knew Too Much, The (1956),Adventure|Drama|Mystery|Thriller|
2187,Stage Fright (1950),Mystery|Romance|Thriller|
2191,Merry War, A (1997),Comedy|
2195,Dirty Work (1998),Comedy|
2199,Phoenix (1998),Crime|Drama|
2203,Shadow of a Doubt (1943),Crime|Drama|Thriller|
2207,Jamaica Inn (1939),Drama|
2211,Secret Agent (1936),Thriller|
2215,Rich and Strange (1931),Comedy|Romance|
2219,Murder! (1930),Mystery|Thriller|
2223,Farmer's Wife, The (1928),Comedy|
2227,Lodger: A Story of the London Fog, The (1927),Crime|Drama|Thriller|
2232,Cube (1997),Horror|Mystery|Sci-Fi|Thriller|
2236,Simon Birch (1998),Drama|
2240,My Bodyguard (1980),Drama|
2244,Allnighter, The (1987),Comedy|Romance|
2248,Say Anything... (1989),Comedy|Drama|Romance|
2252,Hero (1992),Comedy|Drama|
2256,Parasite (1982),Horror|Sci-Fi|
